Code,Long,Lat,MDS1,MDS2,jCartx,jCarty
GSA17_2,13.09985367,44.66757228,396.235443791307,929.69639661389,392.548759606041,927.591317645484
GSA17_3,13.09985367,44.66757228,396.235443791307,929.69639661389,398.147788225792,930.621724923724
GSA17_4,13.09985367,44.66757228,396.235443791307,929.69639661389,387.973062309741,927.370160170296
GSA17_5,13.09985367,44.66757228,396.235443791307,929.69639661389,403.069238056547,927.75358612875
GSA17_6,13.09985367,44.66757228,396.235443791307,929.69639661389,390.889954197898,929.361672102311
GSA17_7,13.09985367,44.66757228,396.235443791307,929.69639661389,397.468733629889,928.468322569156
GSA17_8,13.09985367,44.66757228,396.235443791307,929.69639661389,396.887690569765,930.707168216282
GSA17_9,13.09985367,44.66757228,396.235443791307,929.69639661389,388.283812019906,928.751209581667
GSA17_10,13.09985367,44.66757228,396.235443791307,929.69639661389,396.448545937173,927.896127533564
GSA17_11,13.09985367,44.66757228,396.235443791307,929.69639661389,390.686093544892,929.046239180142
GSA17_12,13.09985367,44.66757228,396.235443791307,929.69639661389,397.71610085082,931.286578005204
GSA17_13,13.09985367,44.66757228,396.235443791307,929.69639661389,396.923347046717,928.637115681195
GSA17_14,13.09985367,44.66757228,396.235443791307,929.69639661389,392.839747887037,931.583960895637
GSA17_15,13.09985367,44.66757228,396.235443791307,929.69639661389,397.380635395579,928.102615591908
GSA17_16,13.09985367,44.66757228,396.235443791307,929.69639661389,396.827802166461,932.067077045167
GSA17_17,13.09985367,44.66757228,396.235443791307,929.69639661389,390.99634132751,930.809201300168
GSA17_18,13.09985367,44.66757228,396.235443791307,929.69639661389,405.143081814542,927.450346763456
GSA17_19,13.09985367,44.66757228,396.235443791307,929.69639661389,405.268774825267,932.080379383662
GSA17_20,13.09985367,44.66757228,396.235443791307,929.69639661389,401.216940249435,932.058065262088
GSA17_21,13.09985367,44.66757228,396.235443791307,929.69639661389,398.415055260367,929.706717081392
GSA17_22,13.09985367,44.66757228,396.235443791307,929.69639661389,403.992073246955,931.773524545902
GSA17_23,13.09985367,44.66757228,396.235443791307,929.69639661389,389.188331063956,929.734593411559
GSA17_24,13.09985367,44.66757228,396.235443791307,929.69639661389,389.824697137743,929.159138555476
GSA17_25,13.09985367,44.66757228,396.235443791307,929.69639661389,393.474810622565,930.007152421796
GSA17_26,13.09985367,44.66757228,396.235443791307,929.69639661389,403.177526282638,928.925227941969
GSA17_27,13.09985367,44.66757228,396.235443791307,929.69639661389,400.635870580866,927.61528989079
GSA17_28,13.09985367,44.66757228,396.235443791307,929.69639661389,393.919262074053,931.812472800189
GSA17_29,13.09985367,44.66757228,396.235443791307,929.69639661389,394.799894638851,928.841530365148
GSA17_30,13.09985367,44.66757228,396.235443791307,929.69639661389,387.550402797505,930.656178769121
GSA17_31,13.09985367,44.66757228,396.235443791307,929.69639661389,391.19773844809,928.880475679064
GSA17_32,13.09985367,44.66757228,396.235443791307,929.69639661389,402.917458406768,930.012030603388
GSA17_33,13.09985367,44.66757228,396.235443791307,929.69639661389,403.353188230402,929.518627579907
GSA17_34,13.09985367,44.66757228,396.235443791307,929.69639661389,390.752897791869,929.409296052182
GSA17_35,13.09985367,44.66757228,396.235443791307,929.69639661389,390.77810834863,931.803498880962
GSA17_36,13.09985367,44.66757228,396.235443791307,929.69639661389,402.471301624298,930.500000910857
GSA17_37,13.09985367,44.66757228,396.235443791307,929.69639661389,391.258620613187,928.381674822816
GSA17_38,13.09985367,44.66757228,396.235443791307,929.69639661389,397.500895438276,927.397958473885
GSA17_39,13.09985367,44.66757228,396.235443791307,929.69639661389,404.23859673471,928.571572125354
GSA17_40,13.09985367,44.66757228,396.235443791307,929.69639661389,405.343342483349,927.552190182754
GSA18w_1,17.2632095,41.07604513,349.701906586404,231.524686983643,343.619267624023,231.008162298096
GSA18w_2,17.2632095,41.07604513,349.701906586404,231.524686983643,344.128607368807,230.850599882422
GSA18w_3,17.2632095,41.07604513,349.701906586404,231.524686983643,343.304501315358,229.482946099011
GSA18w_4,17.2632095,41.07604513,349.701906586404,231.524686983643,349.454690049554,230.517550027041
GSA18w_5,17.2632095,41.07604513,349.701906586404,231.524686983643,341.330405196699,229.804807906268
GSA18w_6,17.2632095,41.07604513,349.701906586404,231.524686983643,355.295484133589,229.253201210914
GSA18w_7,17.2632095,41.07604513,349.701906586404,231.524686983643,355.495994590188,230.343737014426
GSA18w_8,17.2632095,41.07604513,349.701906586404,231.524686983643,341.226753660257,233.806247551409
GSA18w_9,17.2632095,41.07604513,349.701906586404,231.524686983643,357.040532429296,229.708083250416
GSA18w_10,17.2632095,41.07604513,349.701906586404,231.524686983643,348.121532107483,230.69146909867
GSA18w_11,17.2632095,41.07604513,349.701906586404,231.524686983643,347.89361850858,230.788673295496
GSA18w_12,17.2632095,41.07604513,349.701906586404,231.524686983643,358.821636435728,231.110313575758
GSA18w_13,17.2632095,41.07604513,349.701906586404,231.524686983643,348.706869062002,230.532590299515
GSA18w_14,17.2632095,41.07604513,349.701906586404,231.524686983643,353.094560054283,230.357608808247
GSA18w_15,17.2632095,41.07604513,349.701906586404,231.524686983643,341.628087345849,231.805449665381
GSA18w_16,17.2632095,41.07604513,349.701906586404,231.524686983643,346.826588608849,231.789454290686
GSA18e_1,19.17726382,41.3280098,349.990868830342,219.796292471558,358.996138301153,221.083767120585
GSA18e_2,19.17726382,41.3280098,349.990868830342,219.796292471558,346.819426225159,220.719123925313
GSA18e_3,19.17726382,41.3280098,349.990868830342,219.796292471558,357.6719820632,220.057823397264
GSA18e_4,19.17726382,41.3280098,349.990868830342,219.796292471558,358.308377812836,218.924569699213
GSA18e_5,19.17726382,41.3280098,349.990868830342,219.796292471558,350.771746944111,218.39780241181
GSA18e_6,19.17726382,41.3280098,349.990868830342,219.796292471558,358.143271256458,219.649849134356
GSA18e_7,19.17726382,41.3280098,349.990868830342,219.796292471558,359.025516131926,218.378867719367
GSA18e_8,19.17726382,41.3280098,349.990868830342,219.796292471558,352.7416549167,219.050970830813
GSA18e_9,19.17726382,41.3280098,349.990868830342,219.796292471558,346.853210853074,217.765842030615
GSA18e_10,19.17726382,41.3280098,349.990868830342,219.796292471558,349.371934860792,221.932444959924
GSA18e_11,19.17726382,41.3280098,349.990868830342,219.796292471558,355.194413693842,217.788717934162
GSA22_1,25.73539571,40.57023564,970.06068229102,-186.740193667832,977.902507107187,-184.931925780895
GSA22_2,25.73539571,40.57023564,970.06068229102,-186.740193667832,970.535615496006,-184.388643474328
GSA22_3,25.73539571,40.57023564,970.06068229102,-186.740193667832,966.436183900427,-185.444613822374
GSA22_4,25.73539571,40.57023564,970.06068229102,-186.740193667832,963.600651309867,-188.184037134993
GSA22_5,25.73539571,40.57023564,970.06068229102,-186.740193667832,977.586315021146,-189.134892994735
GSA22_6,25.73539571,40.57023564,970.06068229102,-186.740193667832,970.696146458056,-188.642809661674
GSA22_7,25.73539571,40.57023564,970.06068229102,-186.740193667832,978.541149109084,-188.664451838481
GSA22_8,25.73539571,40.57023564,970.06068229102,-186.740193667832,963.32265121438,-188.985662275749
GSA22_9,25.73539571,40.57023564,970.06068229102,-186.740193667832,974.410510498885,-186.027415645692
GSA22_10,25.73539571,40.57023564,970.06068229102,-186.740193667832,974.80253648967,-186.581779011536
GSA22_11,25.73539571,40.57023564,970.06068229102,-186.740193667832,967.033694871743,-184.370006133813
GSA22_12,25.73539571,40.57023564,970.06068229102,-186.740193667832,966.048273577582,-188.914763080525
GSA22_13,25.73539571,40.57023564,970.06068229102,-186.740193667832,963.835532379937,-185.805753945383
GSA22_14,25.73539571,40.57023564,970.06068229102,-186.740193667832,968.387045208965,-188.062067451897
GSA22_15,25.73539571,40.57023564,970.06068229102,-186.740193667832,964.73065828741,-184.922946596715
GSA22_16,25.73539571,40.57023564,970.06068229102,-186.740193667832,973.986621655938,-187.114782709825
GSA22_17,25.73539571,40.57023564,970.06068229102,-186.740193667832,972.943082964462,-186.933262634474
GSA22_18,25.73539571,40.57023564,970.06068229102,-186.740193667832,978.517728339736,-186.923337117779
GSA22_19,25.73539571,40.57023564,970.06068229102,-186.740193667832,979.103154471744,-185.328433404687
GSA22_20,25.73539571,40.57023564,970.06068229102,-186.740193667832,978.349379610125,-184.891061510715
GSA22_21,25.73539571,40.57023564,970.06068229102,-186.740193667832,966.02290555932,-188.875239597458
GSA22_22,25.73539571,40.57023564,970.06068229102,-186.740193667832,976.928820085753,-188.579527484077
GSA22_23,25.73539571,40.57023564,970.06068229102,-186.740193667832,972.023248119321,-187.117340533632
GSA22_24,25.73539571,40.57023564,970.06068229102,-186.740193667832,973.25145993479,-185.520575719523
GSA22_25,25.73539571,40.57023564,970.06068229102,-186.740193667832,962.347045998689,-185.387657918605
GSA22_26,25.73539571,40.57023564,970.06068229102,-186.740193667832,961.389772356343,-186.985945402655
GSA22_27,25.73539571,40.57023564,970.06068229102,-186.740193667832,977.972174107511,-187.62935777587
GSA22_28,25.73539571,40.57023564,970.06068229102,-186.740193667832,972.571588137042,-187.215119169104
GSA22_29,25.73539571,40.57023564,970.06068229102,-186.740193667832,968.343378352043,-188.650645052466
